page	line_AVF
24884927551.0	0.3712761
34094639295.0	0.516134
34094639296.0	0.37215197
34094639299.0	0.3721605
34094639300.0	0.40744367
34094639301.0	0.37149212
34094639302.0	0.23272425
34094639303.0	0.4083127
34094639304.0	0.4072583
34094639305.0	0.4069273
34094639307.0	0.40741035
34094639317.0	0.37075067
34094639318.0	0.20566814
34094639319.0	0.33895117
34094639329.0	0.17238592
34094639337.0	0.21231374
34094639341.0	0.20063168
34094639343.0	0.40616003
34094639345.0	0.37119764
34094639373.0	0.40654373
34094639374.0	0.40653974
34094639383.0	0.32870883
34094639385.0	0.49882227
34094639389.0	0.49309656
34094639391.0	0.5088663
34094639402.0	0.29389477
34094639404.0	0.55387473
34094639405.0	0.25728488
34094639406.0	0.20232964
34094639409.0	0.38567692
34094639410.0	0.38573873
34094639418.0	0.18438701
34094639419.0	0.1868708
34094639421.0	0.17018597
34094639422.0	0.4590891
34094639451.0	0.40845442
34094639452.0	0.40672395
34094639454.0	0.17218086
34094639468.0	0.37581697
34094639469.0	0.059219748
34094639470.0	0.066747434
34094639471.0	0.08768546
34094639472.0	0.08850178
34094639474.0	0.103107445
34094639475.0	0.10945995
34094639477.0	0.40482533
34094639478.0	0.43540275
34094639479.0	0.70107764
34094639480.0	0.17081732
34094639481.0	0.18373723
34094639486.0	0.17731944
34094639489.0	0.048644952
34094639490.0	0.059450492
34094639491.0	0.059687126
34094639492.0	0.072174974
34094639493.0	0.07897153
34094639494.0	0.087232746
34094639495.0	0.087458804
34094639496.0	0.095611565
34094639497.0	0.10914504
34094639498.0	0.16518967
34094639499.0	0.17733583
34094639500.0	0.16977258
34094639501.0	0.16984424
34094639502.0	0.16991808
34094639503.0	0.17766814
34094639504.0	0.17047173
34094639505.0	0.17034805
34094639506.0	0.17042862
34094639507.0	0.18017222
34094639508.0	0.17123015
34094639509.0	0.17130025
34094639510.0	0.17285196
34094639511.0	0.18369827
34094639512.0	0.43207672
34094639513.0	0.18372725
34094639514.0	0.18375671
34094639515.0	0.18381743
34094639516.0	0.18386072
34094639517.0	0.18393828
34094639518.0	0.18868785
34094639519.0	0.18469813
34094639520.0	0.18446818
34094639521.0	0.18454027
34094639522.0	0.27827376
34094639523.0	0.34240603
34094639524.0	0.18532811
34094639525.0	0.20288812
34094639526.0	0.20253393
34094639527.0	0.27001193
34094639528.0	0.30373657
34094639529.0	0.2026585
34094639530.0	0.2941146
34094639531.0	0.31801444
34094639532.0	0.20302343
34094639533.0	0.20305626
34094639534.0	0.2031301
34094639535.0	0.20365937
34094639536.0	0.29608214
34094639537.0	0.20352869
34094639538.0	0.20377524
34094639539.0	0.28650072
34094639540.0	0.20367259
34094639541.0	0.20426382
34094639542.0	0.5436051
34094639543.0	0.36885977
34094639544.0	0.3689045
34094639545.0	0.36893395
34094639546.0	0.3689652
34094639547.0	0.36900514
34094639548.0	0.3690061
34094639549.0	0.36909473
34094639550.0	0.39025876
34094639551.0	0.36979634
34094639552.0	0.36948177
34094639553.0	0.36952183
34094639554.0	0.36995175
34094639555.0	0.36957797
34094639556.0	0.40735197
34094639557.0	0.37306565
34094639558.0	0.3707573
34094639559.0	0.37053728
34094639560.0	0.3705653
34094639561.0	0.3710269
34094639562.0	0.37140208
34094639563.0	0.3714201
34094639564.0	0.37215552
34094639565.0	0.3891437
34094639566.0	0.3852728
34094639567.0	0.38532776
34094639568.0	0.38565877
34094639569.0	0.39907154
34094639570.0	0.38613614
34094639571.0	0.38617617
34094639572.0	0.38671392
34094639573.0	0.49885935
34094639574.0	0.50255513
34094639575.0	0.503421
34094639576.0	0.5527756
34094639577.0	0.40498683
34094639578.0	0.40532374
34094639579.0	0.40536377
34094639580.0	0.63612944
34094639581.0	0.40551165
34094639582.0	0.48790047
34094639583.0	0.43502852
34094639584.0	0.40664378
34094639585.0	0.40660053
34094639586.0	0.40655416
34094639587.0	0.40659657
34094639588.0	0.40747774
34094639589.0	0.40736425
34094639590.0	0.40774673
34094639591.0	0.40773952
34094639592.0	0.40774846
34094639593.0	0.40710685
34094639594.0	0.40724298
34094639595.0	0.40728873
34094639596.0	0.40830633
34094639597.0	0.40853733
34094639598.0	0.40859953
34094639599.0	0.61015844
34094639600.0	0.61016595
34094639601.0	0.6102464
34094639602.0	0.5543014
34094639603.0	0.51949406
34094639604.0	0.5195341
34094639605.0	0.5195632
34094639606.0	0.51962936
34094639607.0	0.69037694
34094639608.0	0.68049425
34094639609.0	0.6805801
34094639610.0	0.6850725
34094639611.0	0.6808108
34094639612.0	0.6808291
34094639613.0	0.6809033
34094639614.0	0.6819255
34094639615.0	0.79401827
34094639616.0	0.6812904
34094639617.0	0.6813304
34094639618.0	0.6816679
34094639619.0	0.7847465
34094639620.0	0.6869555
34094639621.0	0.68178964
34094639622.0	0.7001189
34094639623.0	0.7001757
34094639624.0	0.7002172
34094639625.0	0.70026046
34094639626.0	0.7002959
34094639627.0	0.70039
34094639628.0	0.70079553
34094639629.0	0.7007011
34094639630.0	0.7008898
34094639631.0	0.70093936
34094639632.0	0.7009455
34094639633.0	0.790086
34094639634.0	0.7021794
34094639635.0	0.7017814
34094639636.0	0.70182145
34094639637.0	0.70185053
34094639638.0	0.7019179
34094639639.0	0.74858004
34094639640.0	0.7025078
34094639641.0	0.7024455
34094639642.0	0.81171244
34094639643.0	0.7026278
34094639644.0	0.70268744
34094639645.0	0.8163787
34094639646.0	0.8415755
34094639647.0	0.88736784
34094639648.0	0.88742083
34094639649.0	0.88751984
34094639650.0	0.89676774
34094639651.0	0.8998673
34094639652.0	0.8878678
34094639653.0	0.88790786
34094639654.0	0.9049138
34094639655.0	0.9046922
34094639656.0	0.9047613
34094639657.0	0.9048351
34094639658.0	0.90554106
34094639659.0	0.90519404
34094639660.0	0.9052236
34094639661.0	0.90534467
52584053131.0	0.3714824
52584053132.0	0.13041818
