,access#,line_AVF_average,line_AVF_std
52584053199.0,3.0,0.048739746,0.000553934
52584053200.0,38.0,0.06031222,0.006223918
52584053155.0,24.0,0.57066417,0.28667584
52584053160.0,9.0,0.12348644,0.08149603
52584053162.0,10.0,0.11015612,0.072132565
52584053134.0,12.0,0.29073036,0.2707673
52584053161.0,13.0,0.24184363,0.20240007
52584053158.0,18.0,0.22884722,0.18548952
52584053159.0,17.0,0.2772263,0.26165983
52584053156.0,14.0,0.3699594,0.29589415
52584053163.0,19.0,0.19050322,0.038910802
52584053164.0,10.0,0.2275369,0.19794844
52584053166.0,18.0,0.18123493,0.046736352
52584053167.0,6.0,0.35466915,0.33108023
52584053168.0,8.0,0.31354216,0.2900112
52584053174.0,9.0,0.4282067,0.33453697
52584053173.0,8.0,0.38428098,0.32874775
52584053180.0,1.0,0.06917123,0.0
52584053178.0,3.0,0.11372644,0.07671591
52584053175.0,3.0,0.18201342,0.097307175
52584053201.0,19.0,0.076134905,0.00307686
52584053145.0,7.0,0.21016039,0.08047086
52584053202.0,38.0,0.09168967,0.0060559255
52584053186.0,2.0,0.35435453,0.3565642
52584053187.0,2.0,0.35438687,0.35656512
52584053203.0,19.0,0.10705701,0.003058259
52584053191.0,18.0,0.5345784,0.2500114
52584053204.0,41.0,0.12341559,0.0065336856
52584053205.0,17.0,0.13902476,0.002740384
52584053206.0,45.0,0.15623266,0.0073640374
52584053157.0,22.0,0.60102624,0.252559
52584053143.0,3.0,0.5607768,0.41160774
52584053207.0,6.0,0.20081908,0.028332172
52584053169.0,4.0,0.32000247,0.30614272
52584053190.0,4.0,0.5523455,0.33599043
52584053208.0,32.0,0.17725512,0.005123896
52584053209.0,32.0,0.19515102,0.005289336
52584053165.0,7.0,0.2192304,0.0134543525
52584053177.0,2.0,0.20296358,0.0009922051
52584053176.0,1.0,0.20356391,0.0
52584053181.0,3.0,0.20372759,0.00011085049
52584053182.0,4.0,0.20377885,0.00014035839
52584053179.0,1.0,0.20361255,0.0
52584053210.0,33.0,0.21285199,0.005282734
52584053211.0,1.0,0.20410144,0.0
52584053212.0,32.0,0.2310663,0.0052856654
52584053213.0,2.0,0.4924486,0.35662013
52584053141.0,1.0,0.24028948,0.0
52584053214.0,53.0,0.2542354,0.008436449
52584053194.0,16.0,0.35447186,0.09730857
52584053146.0,7.0,0.5296493,0.23982126
52584053139.0,7.0,0.44207874,0.14380595
52584053195.0,17.0,0.3525148,0.07936002
52584053215.0,14.0,0.27214405,0.0022616766
52584053216.0,39.0,0.28667542,0.0062326374
52584053217.0,54.0,0.31219426,0.008657445
52584053148.0,6.0,0.35629797,0.060319476
52584053154.0,11.0,0.3992416,0.06824682
52584053152.0,11.0,0.39924774,0.068255514
52584053218.0,53.0,0.34134153,0.008458925
52584053219.0,38.0,0.36580047,0.0061502694
52584053183.0,1.0,0.35934392,0.0
52584053220.0,18.0,0.3813438,0.0029028945
52584053221.0,2.0,0.3866713,0.0002889804
52584053222.0,52.0,0.40133047,0.008256892
52584053223.0,17.0,0.419793,0.002729926
52584053224.0,36.0,0.43428004,0.0057700546
52584053225.0,29.0,0.4517577,0.0046634795
52584053226.0,31.0,0.46826482,0.0049855737
52584053189.0,1.0,0.4770219,0.0
52584053227.0,2.0,0.6108309,0.18917817
52584053228.0,22.0,0.48241818,0.0035046826
52584053229.0,38.0,0.49875608,0.006063567
52584053230.0,41.0,0.51987624,0.0065434254
52584053231.0,19.0,0.5363549,0.0030666294
52584053232.0,29.0,0.54894704,0.0046498724
52584053233.0,32.0,0.56576705,0.0051815873
52584053234.0,39.0,0.5845447,0.0062133987
52584053235.0,21.0,0.6009111,0.0033764134
52584053236.0,33.0,0.61485094,0.0052453754
52584053237.0,29.0,0.63173455,0.0046342327
52584053238.0,26.0,0.6460735,0.0041398425
52584053239.0,38.0,0.6636885,0.006160373
52584053240.0,43.0,0.68561864,0.00683649
52584053241.0,23.0,0.7036339,0.0036908481
52584053242.0,30.0,0.7178902,0.00479083
52584053243.0,34.0,0.735396,0.0054461784
52584053244.0,11.0,0.7473003,0.0018001662
52584053245.0,56.0,0.76569164,0.008990313
52584053246.0,64.0,0.7985119,0.010143445
52584053247.0,59.0,0.8317954,0.009355993
52584053248.0,2.0,0.84844637,0.00041577878
52584053249.0,10.0,0.85135484,0.0015929042
52584053250.0,53.0,0.868497,0.008418238
52584053251.0,16.0,0.88673264,0.002543179
52584053252.0,45.0,0.903325,0.007158671
52584053253.0,57.0,0.9304162,0.009037381
52584053254.0,8.0,0.9481553,0.0013365867
52584053255.0,33.0,0.9595506,0.006598571
24884927550.0,1.0,0.963281,0.0
52584053256.0,29.0,0.9647587,0.0010179281
52584053257.0,44.0,0.9646467,0.001302443
24884927555.0,25.0,0.9653319,0.0015341735
52584053149.0,2.0,0.9633893,1.7437253e-05
52584053258.0,1.0,0.96341866,0.0
52584053259.0,4.0,0.9634893,2.4894405e-05
52584053260.0,3.0,0.9640614,0.00079313014
52584053261.0,12.0,0.96467304,0.00048217812
52584053262.0,11.0,0.9647603,0.0008559653
52584053263.0,2.0,0.9643922,1.0161124e-05
52584053264.0,1.0,0.96443754,0.0
52584053265.0,1.0,0.9644629,0.0
52584053266.0,4.0,0.965573,0.00073935324
52584053267.0,8.0,0.9656487,6.20727e-05
52584053268.0,30.0,0.9799286,0.0048423107
52584053269.0,23.0,0.99387145,0.0036717362
gmean,,0.49751538,0.063646905
